musteri_id_mask,bilet_alma_tarihi,min_bilet_alma_zamani,gunluk_toplam_islem_sayisi,sube_kodu,x,y
20007351,20OCT2014:00:00:00,20OCT2014:14:53:07.000000,3,152,41.0169,28.9507
20007351,09DEC2014:00:00:00,09DEC2014:14:29:50.000000,7,152,41.0169,28.9507
20007351,09OCT2014:00:00:00,09OCT2014:14:12:43.000000,5,152,41.0169,28.9507
20007351,09FEB2015:00:00:00,09FEB2015:13:47:29.000000,5,152,41.0169,28.9507
20007351,24NOV2014:00:00:00,24NOV2014:16:12:37.000000,6,152,41.0169,28.9507
15664189,27AUG2014:00:00:00,27AUG2014:15:22:34.000000,3,154,40.650143,35.829635
13055162,07AUG2014:00:00:00,07AUG2014:11:16:03.000000,5,164,38.466145,27.220062
15748483,09OCT2014:00:00:00,09OCT2014:11:40:31.000000,13,165,41.04849,28.93166
9875403,11MAY2015:00:00:00,11MAY2015:15:04:28.000000,1,166,41.04338,28.98615
9875403,11FEB2015:00:00:00,11FEB2015:14:36:50.000000,6,166,41.04338,28.98615
9875403,22OCT2014:00:00:00,22OCT2014:11:00:13.000000,7,166,41.04338,28.98615
9875403,08AUG2014:00:00:00,08AUG2014:12:48:20.000000,10,166,41.04338,28.98615
9875403,27MAR2015:00:00:00,27MAR2015:10:14:06.000000,4,166,41.04338,28.98615
9875403,02DEC2014:00:00:00,02DEC2014:14:38:27.000000,12,166,41.04338,28.98615
20034136,03JUL2014:00:00:00,03JUL2014:12:38:56.000000,9,166,41.04338,28.98615
13055162,18AUG2014:00:00:00,18AUG2014:14:03:51.000000,6,169,41.01623,28.9308
15522570,05MAR2015:00:00:00,05MAR2015:15:59:57.000000,4,171,41.0789,28.99638
15522570,01OCT2014:00:00:00,01OCT2014:13:44:29.000000,3,171,41.0789,28.99638
17320700,06AUG2014:00:00:00,06AUG2014:12:07:51.000000,3,175,41.076052,29.015574
17320700,30SEP2014:00:00:00,30SEP2014:09:23:30.000000,5,175,41.076052,29.015574
20498552,01OCT2014:00:00:00,01OCT2014:16:30:52.000000,7,175,41.076052,29.015574
20498552,01AUG2014:00:00:00,01AUG2014:13:39:23.000000,4,175,41.076052,29.015574
20498552,22OCT2014:00:00:00,22OCT2014:13:14:06.000000,7,175,41.076052,29.015574
20498552,23MAR2015:00:00:00,23MAR2015:15:32:54.000000,5,175,41.076052,29.015574
20498552,03FEB2015:00:00:00,03FEB2015:10:42:15.000000,4,175,41.076052,29.015574
20498552,02OCT2014:00:00:00,02OCT2014:09:12:08.000000,4,175,41.076052,29.015574
18681877,13JAN2015:00:00:00,13JAN2015:16:03:44.000000,6,177,41.010394,28.973412
20034136,15DEC2014:00:00:00,15DEC2014:15:15:03.000000,3,182,41.006097,28.870826
17223830,07AUG2014:00:00:00,07AUG2014:13:40:50.000000,4,182,41.006097,28.870826
17223830,13AUG2014:00:00:00,13AUG2014:15:10:04.000000,14,182,41.006097,28.870826
17223830,30OCT2014:00:00:00,30OCT2014:09:16:47.000000,10,182,41.006097,28.870826
17223830,30SEP2014:00:00:00,30SEP2014:09:39:39.000000,12,182,41.006097,28.870826
15543294,16APR2015:00:00:00,16APR2015:11:30:20.000000,4,185,38.371825,34.026473
14573146,08DEC2014:00:00:00,08DEC2014:16:15:40.000000,5,186,41.07703,28.94696
16309426,01JUL2014:00:00:00,01JUL2014:15:41:49.000000,13,186,41.07703,28.94696
13055162,19JUN2015:00:00:00,19JUN2015:13:28:47.000000,3,207,41.0405,28.95091
15748483,25MAY2015:00:00:00,25MAY2015:16:11:20.000000,14,207,41.0405,28.95091
15748483,17APR2015:00:00:00,17APR2015:16:58:51.000000,5,207,41.0405,28.95091
15748483,24MAR2015:00:00:00,24MAR2015:12:03:18.000000,2,207,41.0405,28.95091
15748483,15OCT2014:00:00:00,15OCT2014:16:55:44.000000,12,207,41.0405,28.95091
15748483,01JUL2014:00:00:00,01JUL2014:12:06:23.000000,87,207,41.0405,28.95091
9339300,05AUG2014:00:00:00,05AUG2014:15:08:15.000000,9,249,36.999797,35.320534
9339300,25JUL2014:00:00:00,25JUL2014:12:00:34.000000,14,249,36.999797,35.320534
19858904,03FEB2015:00:00:00,03FEB2015:16:20:46.000000,2,257,41.024938,29.035941
16309426,23OCT2014:00:00:00,23OCT2014:16:43:47.000000,3,258,41.090289,29.005262
16309426,03FEB2015:00:00:00,03FEB2015:12:11:05.000000,4,258,41.090289,29.005262
16309426,17SEP2014:00:00:00,17SEP2014:11:54:34.000000,7,258,41.090289,29.005262
