tarih,musteri_id_mask,alici_musteri_id_mask,doviz_fmt,odeme_turu_fmt,havale_tutari,musteri_tip
14JUN2015:00:00:00,20018440,9473305,TURK_LIRASI,DIGER_ODEMELER,907,GERCEK
15JUN2015:00:00:00,4365610,9133648,EURO,DIGER_ODEMELER,1050,TUZEL
24MAR2015:00:00:00,9054653,13268797,TURK_LIRASI,DIGER_ODEMELER,100,TUZEL
23APR2015:00:00:00,3542321,1718365,TURK_LIRASI,DIGER_ODEMELER,3000,GERCEK
18MAY2015:00:00:00,3542321,1718365,TURK_LIRASI,DIGER_ODEMELER,1000,GERCEK
15JUN2015:00:00:00,15748483,19926903,TURK_LIRASI,DIGER_ODEMELER,140,GERCEK
23APR2015:00:00:00,20018440,9473305,TURK_LIRASI,DIGER_ODEMELER,1518,GERCEK
24APR2015:00:00:00,4365610,9133648,EURO,DIGER_ODEMELER,1080,TUZEL
18MAY2015:00:00:00,9875403,12936513,TURK_LIRASI,DIGER_ODEMELER,679.25,TUZEL
25MAR2015:00:00:00,2853662,11610932,TURK_LIRASI,DIGER_ODEMELER,400,GERCEK
24APR2015:00:00:00,9339300,18295892,TURK_LIRASI,DIGER_ODEMELER,75,GERCEK
25MAR2015:00:00:00,4365610,9133648,EURO,DIGER_ODEMELER,1080,TUZEL
16JUN2015:00:00:00,4365610,5715424,TURK_LIRASI,DIGER_ODEMELER,200,GERCEK
